product_id,product_name,month_num,qty_sold,qty_purchased,stock,minimum_inventory
1,Bút bi,1,33,7,80,16
2,Bút chì,2,23,10,107,13
3,Tẩy (gôm),3,28,0,72,11
4,Thước kẻ,4,28,0,57,11
5,Bút dạ quang,5,25,0,77,21
6,Vở học sinh,6,29,26,61,25
7,Bút mực,7,19,0,66,28
8,Hộp bút,8,7,0,26,18
9,Compa,9,22,0,79,23
10,Kéo học sinh,10,13,1,103,24
11,Bút lông bảng,11,11,0,27,24
12,Bảng con học sinh,12,39,0,55,27
13,Máy tính cầm tay,1,8,0,25,19
14,Băng keo,2,8,17,109,21
15,Giấy A4,3,38,0,119,23
16,Bút màu,4,35,0,91,23
17,Sổ ghi chép,5,27,0,81,17
18,Ba lô học sinh,6,25,0,101,24
19,Túi đựng tài liệu,7,28,0,79,22
20,Bìa hồ sơ,8,33,0,84,16
1,Bút bi,9,13,0,27,20
2,Bút chì,10,21,0,54,10
3,Tẩy (gôm),11,9,0,60,16
4,Thước kẻ,12,13,0,53,10
5,Bút dạ quang,1,27,0,56,12
6,Vở học sinh,2,26,0,84,12
7,Bút mực,3,18,0,24,23
8,Hộp bút,4,31,0,34,19
9,Compa,5,17,6,71,13
10,Kéo học sinh,6,34,6,34,20
11,Bút lông bảng,7,33,6,78,28
12,Bảng con học sinh,8,26,0,61,22
13,Máy tính cầm tay,9,10,0,63,29
14,Băng keo,10,34,0,111,16
15,Giấy A4,11,37,26,81,29
16,Bút màu,12,17,0,89,17
17,Sổ ghi chép,1,31,0,56,10
18,Ba lô học sinh,2,28,0,51,18
19,Túi đựng tài liệu,3,16,1,22,26
20,Bìa hồ sơ,4,21,1,21,14
1,Bút bi,5,36,0,38,11
2,Bút chì,6,30,0,51,13
3,Tẩy (gôm),7,15,0,36,15
4,Thước kẻ,8,28,0,117,15
5,Bút dạ quang,9,26,0,35,10
6,Vở học sinh,10,13,0,89,25
7,Bút mực,11,33,0,78,13
8,Hộp bút,12,23,0,38,29
9,Compa,1,36,8,52,17
10,Kéo học sinh,2,22,0,30,27
11,Bút lông bảng,3,27,0,61,12
12,Bảng con học sinh,4,11,0,109,25
13,Máy tính cầm tay,5,6,0,31,14
14,Băng keo,6,36,0,28,18
15,Giấy A4,7,39,0,99,12
16,Bút màu,8,24,0,52,29
17,Sổ ghi chép,9,15,0,55,15
18,Ba lô học sinh,10,24,0,108,12
19,Túi đựng tài liệu,11,29,13,101,11
20,Bìa hồ sơ,12,39,0,60,13
1,Bút bi,1,37,13,40,25
2,Bút chì,2,24,0,27,16
3,Tẩy (gôm),3,7,0,52,25
4,Thước kẻ,4,16,0,105,23
5,Bút dạ quang,5,34,0,70,17
6,Vở học sinh,6,31,0,40,10
7,Bút mực,7,32,0,116,14
8,Hộp bút,8,23,0,83,26
9,Compa,9,21,0,49,23
10,Kéo học sinh,10,10,0,56,26
11,Bút lông bảng,11,35,0,116,29
12,Bảng con học sinh,12,25,0,86,27
13,Máy tính cầm tay,1,29,0,73,12
14,Băng keo,2,28,14,105,11
15,Giấy A4,3,31,25,36,17
16,Bút màu,4,37,21,67,16
17,Sổ ghi chép,5,33,25,118,27
18,Ba lô học sinh,6,29,0,79,16
19,Túi đựng tài liệu,7,24,0,35,23
20,Bìa hồ sơ,8,16,0,34,11
1,Bút bi,9,6,0,82,28
2,Bút chì,10,29,29,41,26
3,Tẩy (gôm),11,10,0,79,14
4,Thước kẻ,12,37,0,79,21
5,Bút dạ quang,1,9,0,25,22
6,Vở học sinh,2,36,0,66,12
7,Bút mực,3,20,0,49,28
8,Hộp bút,4,21,0,38,14
9,Compa,5,30,0,42,18
10,Kéo học sinh,6,16,0,77,10
11,Bút lông bảng,7,38,21,67,17
12,Bảng con học sinh,8,5,0,83,14
13,Máy tính cầm tay,9,26,0,86,21
14,Băng keo,10,30,0,105,23
15,Giấy A4,11,32,16,113,23
16,Bút màu,12,9,0,109,25
17,Sổ ghi chép,1,25,0,52,14
18,Ba lô học sinh,2,27,21,88,13
19,Túi đựng tài liệu,3,38,9,38,10
20,Bìa hồ sơ,4,9,0,35,25
1,Bút bi,5,6,26,103,21
2,Bút chì,6,39,0,52,28
3,Tẩy (gôm),7,16,0,52,17
4,Thước kẻ,8,14,28,32,21
5,Bút dạ quang,9,35,0,54,26
6,Vở học sinh,10,30,0,45,19
7,Bút mực,11,30,0,26,13
8,Hộp bút,12,15,0,55,13
9,Compa,1,14,0,43,12
10,Kéo học sinh,2,39,0,101,26
11,Bút lông bảng,3,36,0,81,14
12,Bảng con học sinh,4,16,0,32,12
13,Máy tính cầm tay,5,34,0,81,29
14,Băng keo,6,29,0,78,28
15,Giấy A4,7,16,0,38,21
16,Bút màu,8,13,0,97,29
17,Sổ ghi chép,9,23,0,35,14
18,Ba lô học sinh,10,39,0,71,13
19,Túi đựng tài liệu,11,27,0,58,22
20,Bìa hồ sơ,12,18,0,24,12
1,Bút bi,1,27,0,94,27
2,Bút chì,2,16,0,77,21
3,Tẩy (gôm),3,21,6,65,22
4,Thước kẻ,4,13,0,85,14
5,Bút dạ quang,5,33,18,27,25
6,Vở học sinh,6,5,0,36,16
7,Bút mực,7,29,0,55,15
8,Hộp bút,8,35,0,73,16
9,Compa,9,31,18,58,12
10,Kéo học sinh,10,17,0,77,29
11,Bút lông bảng,11,32,0,58,10
12,Bảng con học sinh,12,7,0,81,26
13,Máy tính cầm tay,1,29,0,57,15
14,Băng keo,2,36,0,66,25
15,Giấy A4,3,25,0,55,12
16,Bút màu,4,23,0,37,24
17,Sổ ghi chép,5,18,0,73,12
18,Ba lô học sinh,6,20,0,94,21
19,Túi đựng tài liệu,7,14,0,91,15
20,Bìa hồ sơ,8,16,20,27,13
1,Bút bi,9,30,0,79,27
2,Bút chì,10,32,8,119,26
3,Tẩy (gôm),11,13,0,103,22
4,Thước kẻ,12,32,12,65,12
5,Bút dạ quang,1,10,0,88,24
6,Vở học sinh,2,29,0,75,27
7,Bút mực,3,9,0,84,27
8,Hộp bút,4,36,0,30,26
9,Compa,5,17,8,118,10
10,Kéo học sinh,6,25,5,111,26
11,Bút lông bảng,7,9,0,22,14
12,Bảng con học sinh,8,14,0,36,23
13,Máy tính cầm tay,9,13,18,64,22
14,Băng keo,10,8,16,51,11
15,Giấy A4,11,32,6,45,11
16,Bút màu,12,7,0,31,10
17,Sổ ghi chép,1,9,26,76,26
18,Ba lô học sinh,2,27,0,104,23
19,Túi đựng tài liệu,3,6,0,57,11
20,Bìa hồ sơ,4,38,0,98,28
1,Bút bi,5,38,0,57,10
2,Bút chì,6,28,0,49,19
3,Tẩy (gôm),7,21,0,23,19
4,Thước kẻ,8,21,0,103,14
5,Bút dạ quang,9,38,0,85,22
6,Vở học sinh,10,15,24,42,25
7,Bút mực,11,35,0,35,17
8,Hộp bút,12,8,23,44,12
9,Compa,1,36,0,112,27
10,Kéo học sinh,2,23,0,101,19
11,Bút lông bảng,3,26,0,24,18
12,Bảng con học sinh,4,16,1,68,23
13,Máy tính cầm tay,5,30,0,92,24
14,Băng keo,6,26,29,82,25
15,Giấy A4,7,21,0,27,26
16,Bút màu,8,39,14,66,23
17,Sổ ghi chép,9,30,0,97,11
18,Ba lô học sinh,10,30,23,26,12
19,Túi đựng tài liệu,11,27,0,37,15
20,Bìa hồ sơ,12,39,0,83,14
1,Bút bi,1,32,24,36,16
2,Bút chì,2,26,0,63,26
3,Tẩy (gôm),3,17,0,87,19
4,Thước kẻ,4,7,0,37,24
5,Bút dạ quang,5,26,0,27,17
6,Vở học sinh,6,23,0,25,29
7,Bút mực,7,30,0,78,22
8,Hộp bút,8,10,0,52,15
9,Compa,9,10,3,113,20
10,Kéo học sinh,10,34,22,28,12
11,Bút lông bảng,11,35,0,55,15
12,Bảng con học sinh,12,6,0,94,13
13,Máy tính cầm tay,1,19,0,113,15
14,Băng keo,2,6,0,27,28
15,Giấy A4,3,9,21,87,28
16,Bút màu,4,24,0,31,24
17,Sổ ghi chép,5,5,0,83,15
18,Ba lô học sinh,6,15,0,96,20
19,Túi đựng tài liệu,7,7,17,29,14
20,Bìa hồ sơ,8,27,0,21,22
1,Bút bi,9,6,4,92,26
2,Bút chì,10,13,0,43,15
3,Tẩy (gôm),11,39,0,68,14
4,Thước kẻ,12,18,0,94,18
5,Bút dạ quang,1,38,2,20,17
6,Vở học sinh,2,26,28,91,20
7,Bút mực,3,18,0,54,14
8,Hộp bút,4,9,13,45,13
9,Compa,5,29,0,108,27
10,Kéo học sinh,6,12,0,33,28
11,Bút lông bảng,7,37,0,34,10
12,Bảng con học sinh,8,29,0,85,23
13,Máy tính cầm tay,9,10,0,26,28
14,Băng keo,10,12,0,34,24
15,Giấy A4,11,33,0,113,16
16,Bút màu,12,31,0,57,10
17,Sổ ghi chép,1,31,0,87,11
18,Ba lô học sinh,2,14,0,93,10
19,Túi đựng tài liệu,3,17,3,107,29
20,Bìa hồ sơ,4,19,0,24,24
1,Bút bi,5,8,0,21,28
2,Bút chì,6,30,4,39,20
3,Tẩy (gôm),7,14,0,25,17
4,Thước kẻ,8,27,0,65,20
5,Bút dạ quang,9,16,0,81,27
6,Vở học sinh,10,29,7,79,20
7,Bút mực,11,16,15,87,14
8,Hộp bút,12,12,0,111,18
9,Compa,1,33,8,105,20
10,Kéo học sinh,2,27,4,40,23
11,Bút lông bảng,3,27,0,82,28
12,Bảng con học sinh,4,19,0,92,18
13,Máy tính cầm tay,5,14,0,45,18
14,Băng keo,6,39,0,44,20
15,Giấy A4,7,6,0,110,11
16,Bút màu,8,31,0,62,21
17,Sổ ghi chép,9,28,0,71,15
18,Ba lô học sinh,10,28,0,48,20
19,Túi đựng tài liệu,11,26,17,104,26
20,Bìa hồ sơ,12,11,0,68,29
1,Bút bi,1,26,28,68,16
2,Bút chì,2,5,0,113,28
3,Tẩy (gôm),3,23,0,49,26
4,Thước kẻ,4,33,0,59,28
5,Bút dạ quang,5,22,18,66,27
6,Vở học sinh,6,6,0,113,15
7,Bút mực,7,8,28,74,16
8,Hộp bút,8,7,0,93,28
9,Compa,9,38,0,106,27
10,Kéo học sinh,10,11,0,84,12
11,Bút lông bảng,11,28,28,91,24
12,Bảng con học sinh,12,7,0,111,24
13,Máy tính cầm tay,1,12,23,97,23
14,Băng keo,2,20,0,56,23
15,Giấy A4,3,35,0,101,16
16,Bút màu,4,14,22,104,28
17,Sổ ghi chép,5,23,0,79,27
18,Ba lô học sinh,6,6,0,88,29
19,Túi đựng tài liệu,7,15,1,86,21
20,Bìa hồ sơ,8,24,0,57,18
1,Bút bi,9,38,0,118,29
2,Bút chì,10,26,0,100,19
3,Tẩy (gôm),11,34,0,106,26
4,Thước kẻ,12,21,7,85,22
5,Bút dạ quang,1,29,21,41,20
6,Vở học sinh,2,8,28,117,14
7,Bút mực,3,15,0,104,19
8,Hộp bút,4,38,0,44,15
9,Compa,5,16,9,105,15
10,Kéo học sinh,6,31,0,31,22
11,Bút lông bảng,7,11,0,36,23
12,Bảng con học sinh,8,6,10,84,28
13,Máy tính cầm tay,9,30,10,59,20
14,Băng keo,10,39,0,74,24
15,Giấy A4,11,28,0,88,10
16,Bút màu,12,24,19,100,22
17,Sổ ghi chép,1,38,0,85,18
18,Ba lô học sinh,2,13,0,20,20
19,Túi đựng tài liệu,3,29,2,63,28
20,Bìa hồ sơ,4,34,11,38,14
1,Bút bi,5,21,0,74,26
2,Bút chì,6,16,0,107,28
3,Tẩy (gôm),7,12,0,100,14
4,Thước kẻ,8,20,0,44,27
5,Bút dạ quang,9,29,0,78,18
6,Vở học sinh,10,30,9,35,16
7,Bút mực,11,21,20,105,16
8,Hộp bút,12,18,6,28,28
9,Compa,1,12,0,106,27
10,Kéo học sinh,2,35,0,58,12
11,Bút lông bảng,3,22,0,36,23
12,Bảng con học sinh,4,35,0,79,22
13,Máy tính cầm tay,5,38,0,62,17
14,Băng keo,6,30,0,58,24
15,Giấy A4,7,8,0,44,22
16,Bút màu,8,22,0,61,21
17,Sổ ghi chép,9,6,9,53,22
18,Ba lô học sinh,10,17,0,115,12
19,Túi đựng tài liệu,11,33,0,112,21
20,Bìa hồ sơ,12,20,0,29,16
1,Bút bi,1,24,0,113,26
2,Bút chì,2,7,0,49,27
3,Tẩy (gôm),3,8,0,56,25
4,Thước kẻ,4,5,0,98,18
5,Bút dạ quang,5,19,0,107,13
6,Vở học sinh,6,16,0,56,14
7,Bút mực,7,10,0,82,23
8,Hộp bút,8,28,0,96,11
9,Compa,9,29,0,23,17
10,Kéo học sinh,10,24,0,73,28
11,Bút lông bảng,11,14,24,109,18
12,Bảng con học sinh,12,7,0,24,14
13,Máy tính cầm tay,1,27,0,118,29
14,Băng keo,2,39,0,81,26
15,Giấy A4,3,28,0,118,15
16,Bút màu,4,17,14,108,18
17,Sổ ghi chép,5,8,0,117,20
18,Ba lô học sinh,6,7,28,28,12
19,Túi đựng tài liệu,7,29,0,61,18
