"name","stock","purchased","sold"
"Thuốc nhỏ mắt cho thú cưng",85,"180","30"
"Vòng cổ chống ve rận",57,"135","39"
"Bình xịt khử mùi",106,"375","57"
"Băng gạc y tế vô trùng",163,"225","36"
"Hihi",11,"51569","30362"
"Vitamin C cho thỏ",108,"225","21"
"Thức ăn khô cho chó trưởng thành",33,"72","15"
"Găng tay y tế",158,"54","30"
"Máy cắt lông thú cưng",14,"1066","594"
"Kim tiêm dùng một lần",333,"660","96"
"Lồng vận chuyển chó mèo",23,"54","21"
"Khăn lau vệ sinh",169,"315","48"
"Máy đo huyết áp thú y",13,"36","12"
"Thuốc kháng sinh Amoxicillin cho chó",111,"600","90"
"Vitamin bổ sung cho thú cưng",78,"135","21"
"Thức ăn ướt cho mèo",224,"660","123"
"Vắc-xin phòng dại cho mèo",60,"160","30"
"Thuốc tẩy giun cho chó",107,"225","39"
"Sữa bột cho mèo con",49,"135","48"
"Xà phòng tắm cho chó mèo",127,"225","24"
"Bột dinh dưỡng cho chim",66,"135","12"
